data,variazione_totale_positivi
2020-02-24T18:00:00,0
2020-02-25T18:00:00,90
2020-02-26T18:00:00,74
2020-02-27T18:00:00,203
2020-02-28T18:00:00,233
2020-02-29T18:00:00,228
2020-03-01T18:00:00,528
2020-03-02T18:00:00,258
2020-03-03T18:00:00,428
2020-03-04T18:00:00,443
2020-03-05T18:00:00,590
2020-03-06T18:00:00,620
2020-03-07T18:00:00,1145
2020-03-08T18:00:00,1326
2020-03-09T18:00:00,1598
2020-03-10T18:00:00,529
2020-03-11T17:00:00,2076
2020-03-12T17:00:00,2249
2020-03-13T17:00:00,2116
2020-03-14T17:00:00,2795
2020-03-15T17:00:00,2853
2020-03-16T17:00:00,2470
2020-03-17T17:00:00,2989
2020-03-18T17:00:00,2648
2020-03-19T17:00:00,4480
2020-03-20T17:00:00,4670
2020-03-21T17:00:00,4821
2020-03-22T17:00:00,3957
2020-03-23T17:00:00,3780
2020-03-24T17:00:00,3612
2020-03-25T17:00:00,3491
2020-03-26T17:00:00,4492
2020-03-27T17:00:00,4401
2020-03-28T17:00:00,3651
2020-03-29T17:00:00,3815
2020-03-30T17:00:00,1648
2020-03-31T17:00:00,2107
2020-04-01T17:00:00,2937
2020-04-02T17:00:00,2477
2020-04-03T17:00:00,2339
2020-04-04T17:00:00,2886
2020-04-05T17:00:00,2972
2020-04-06T17:00:00,1941
2020-04-07T17:00:00,880
2020-04-08T17:00:00,1195
2020-04-09T17:00:00,1615
2020-04-10T17:00:00,1396
2020-04-11T17:00:00,1996
2020-04-12T17:00:00,1984
2020-04-13T17:00:00,1363
2020-04-14T17:00:00,675
2020-04-15T17:00:00,1127
2020-04-16T17:00:00,1189
2020-04-17T17:00:00,355
2020-04-18T17:00:00,809
2020-04-19T17:00:00,486
2020-04-20T17:00:00,-20
2020-04-21T17:00:00,-528
2020-04-22T17:00:00,-10
2020-04-23T17:00:00,-851
2020-04-24T17:00:00,-321
2020-04-25T17:00:00,-680
2020-04-26T17:00:00,256
2020-04-27T17:00:00,-290
2020-04-28T17:00:00,-608
2020-04-29T17:00:00,-548
2020-04-30T17:00:00,-3106
2020-05-01T17:00:00,-608
2020-05-02T17:00:00,-239
2020-05-03T17:00:00,-525
2020-05-04T17:00:00,-199
2020-05-05T17:00:00,-1513
2020-05-06T17:00:00,-6939
2020-05-07T17:00:00,-1904
2020-05-08T17:00:00,-1663
2020-05-09T17:00:00,-3119
2020-05-10T17:00:00,-1518
2020-05-11T17:00:00,-836
2020-05-12T17:00:00,-1222
2020-05-13T17:00:00,-2809
2020-05-14T17:00:00,-2017
2020-05-15T17:00:00,-4370
2020-05-16T17:00:00,-1883
2020-05-17T17:00:00,-1836
2020-05-18T17:00:00,-1798
2020-05-19T17:00:00,-1424
2020-05-20T17:00:00,-2377
2020-05-21T17:00:00,-1792
2020-05-22T17:00:00,-1638
2020-05-23T17:00:00,-1570
2020-05-24T17:00:00,-1158
2020-05-25T17:00:00,-1294
2020-05-26T17:00:00,-2358
2020-05-27T17:00:00,-1976
2020-05-28T17:00:00,-2980
2020-05-29T17:00:00,-1811
2020-05-30T17:00:00,-2484
2020-05-31T17:00:00,-1594
2020-06-01T17:00:00,-730
2020-06-02T17:00:00,-1474
2020-06-03T17:00:00,-596
2020-06-04T17:00:00,-868
2020-06-05T17:00:00,-1453
2020-06-06T17:00:00,-1099
2020-06-07T17:00:00,-615
2020-06-08T17:00:00,-532
2020-06-09T17:00:00,-1858
2020-06-10T17:00:00,-1162
2020-06-11T17:00:00,-1073
2020-06-12T17:00:00,-1640
2020-06-13T17:00:00,-1512
2020-06-14T17:00:00,-1211
2020-06-15T17:00:00,-365
2020-06-16T17:00:00,-1340
2020-06-17T17:00:00,-644
2020-06-18T17:00:00,-824
