data,nuovi_positivi
2020-02-24T18:00:00,221
2020-02-25T18:00:00,93
2020-02-26T18:00:00,78
2020-02-27T18:00:00,250
2020-02-28T18:00:00,238
2020-02-29T18:00:00,240
2020-03-01T18:00:00,566
2020-03-02T18:00:00,342
2020-03-03T18:00:00,466
2020-03-04T18:00:00,587
2020-03-05T18:00:00,769
2020-03-06T18:00:00,778
2020-03-07T18:00:00,1247
2020-03-08T18:00:00,1492
2020-03-09T18:00:00,1797
2020-03-10T18:00:00,977
2020-03-11T17:00:00,2313
2020-03-12T17:00:00,2651
2020-03-13T17:00:00,2547
2020-03-14T17:00:00,3497
2020-03-15T17:00:00,3590
2020-03-16T17:00:00,3233
2020-03-17T17:00:00,3526
2020-03-18T17:00:00,4207
2020-03-19T17:00:00,5322
2020-03-20T17:00:00,5986
2020-03-21T17:00:00,6557
2020-03-22T17:00:00,5560
2020-03-23T17:00:00,4789
2020-03-24T17:00:00,5249
2020-03-25T17:00:00,5210
2020-03-26T17:00:00,6153
2020-03-27T17:00:00,5959
2020-03-28T17:00:00,5974
2020-03-29T17:00:00,5217
2020-03-30T17:00:00,4050
2020-03-31T17:00:00,4053
2020-04-01T17:00:00,4782
2020-04-02T17:00:00,4668
2020-04-03T17:00:00,4585
2020-04-04T17:00:00,4805
2020-04-05T17:00:00,4316
2020-04-06T17:00:00,3599
2020-04-07T17:00:00,3039
2020-04-08T17:00:00,3836
2020-04-09T17:00:00,4204
2020-04-10T17:00:00,3951
2020-04-11T17:00:00,4694
2020-04-12T17:00:00,4092
2020-04-13T17:00:00,3153
2020-04-14T17:00:00,2972
2020-04-15T17:00:00,2667
2020-04-16T17:00:00,3786
2020-04-17T17:00:00,3493
2020-04-18T17:00:00,3491
2020-04-19T17:00:00,3047
2020-04-20T17:00:00,2256
2020-04-21T17:00:00,2729
2020-04-22T17:00:00,3370
2020-04-23T17:00:00,2646
2020-04-24T17:00:00,3021
2020-04-25T17:00:00,2357
2020-04-26T17:00:00,2324
2020-04-27T17:00:00,1739
2020-04-28T17:00:00,2091
2020-04-29T17:00:00,2086
2020-04-30T17:00:00,1872
2020-05-01T17:00:00,1965
2020-05-02T17:00:00,1900
2020-05-03T17:00:00,1389
2020-05-04T17:00:00,1221
2020-05-05T17:00:00,1075
2020-05-06T17:00:00,1444
2020-05-07T17:00:00,1401
2020-05-08T17:00:00,1327
2020-05-09T17:00:00,1083
2020-05-10T17:00:00,802
2020-05-11T17:00:00,744
2020-05-12T17:00:00,1402
2020-05-13T17:00:00,888
2020-05-14T17:00:00,992
2020-05-15T17:00:00,789
2020-05-16T17:00:00,875
2020-05-17T17:00:00,675
2020-05-18T17:00:00,451
